yyyymm,confidence,simulated_skip_strategy,race_played,tansho_played,tansho_hit,tansho_hit_pct,tansho_roi,sanren_played,sanren_hit,sanren_hit_pct,sanren_roi,umaren_ab_played,umaren_ab_hit,umaren_ab_hit_pct,umaren_ab_roi,wide_ab_played,wide_ab_hit,wide_ab_hit_pct,wide_ab_roi
202501,SS,BUY,311,311,183,58.84,83.38,311,97,31.19,81.51,622,119,19.13,78.05,622,248,39.87,82.85
202501,S,BUY,139,139,65,46.76,81.73,139,64,46.04,83.19,278,43,15.47,60.36,278,98,35.25,68.24
202501,A,BUY,204,204,82,40.20,79.75,204,90,44.12,79.12,408,88,21.57,88.97,408,177,43.38,96.03
202502,SS,BUY,256,256,142,55.47,80.12,256,76,29.69,83.50,512,104,20.31,80.31,512,193,37.70,77.73
202502,S,BUY,165,165,65,39.39,70.79,165,58,35.15,58.86,330,63,19.09,76.42,330,117,35.45,75.39
202502,A,BUY,200,200,90,45.00,87.20,200,90,45.00,72.64,400,80,20.00,88.02,400,161,40.25,84.58
202503,SS,BUY,323,323,187,57.89,85.05,323,89,27.55,77.46,646,115,17.80,74.88,646,235,36.38,76.46
202503,S,BUY,186,186,90,48.39,81.02,186,76,40.86,77.52,372,76,20.43,91.69,372,144,38.71,82.34
202503,A,BUY,241,241,99,41.08,81.04,241,83,34.44,56.43,482,81,16.80,70.56,482,169,35.06,76.66
202504,SS,BUY,320,320,197,61.56,87.53,320,96,30.00,74.20,640,146,22.81,90.27,640,256,40.00,82.75
202504,S,BUY,172,172,83,48.26,79.83,172,59,34.30,75.71,344,57,16.57,65.26,344,112,32.56,67.21
202504,A,BUY,230,230,90,39.13,72.30,230,93,40.43,71.85,460,80,17.39,67.17,460,169,36.74,78.80
202505,SS,BUY,340,340,184,54.12,75.15,340,89,26.18,73.00,680,137,20.15,80.51,680,248,36.47,75.81
202505,S,BUY,206,206,88,42.72,69.71,206,84,40.78,69.06,412,85,20.63,82.86,412,170,41.26,87.94
202505,A,BUY,270,270,112,41.48,79.44,270,97,35.93,68.00,540,95,17.59,81.78,540,193,35.74,83.00
202506,SS,BUY,320,320,178,55.62,81.59,320,98,30.63,89.60,640,116,18.12,71.61,640,244,38.12,79.84
202506,S,BUY,193,193,92,47.67,82.85,193,72,37.31,74.92,386,73,18.91,81.81,386,142,36.79,80.36
202506,A,BUY,268,268,108,40.30,76.75,268,100,37.31,78.85,536,91,16.98,79.76,536,191,35.63,82.05
202507,SS,BUY,271,271,146,53.87,77.20,271,75,27.68,65.55,542,99,18.27,67.34,542,193,35.61,72.27
202507,S,BUY,221,221,109,49.32,80.27,221,89,40.27,72.96,442,86,19.46,79.75,442,167,37.78,77.31
202507,A,BUY,248,248,110,44.35,84.72,248,92,37.10,62.55,496,83,16.73,71.09,496,169,34.07,71.67
202508,SS,BUY,262,262,150,57.25,80.34,262,83,31.68,87.48,524,113,21.56,85.52,524,212,40.46,85.31
202508,S,BUY,174,174,81,46.55,75.40,174,79,45.40,92.22,348,63,18.10,72.33,348,139,39.94,86.93
202508,A,BUY,238,238,98,41.18,78.70,238,91,38.24,91.03,476,78,16.39,75.50,476,163,34.24,81.51
202509,SS,BUY,299,299,179,59.87,85.62,299,86,28.76,80.96,598,119,19.90,79.93,598,216,36.12,75.02
202509,S,BUY,197,197,97,49.24,79.44,197,93,47.21,88.38,394,83,21.07,82.31,394,165,41.88,83.07
202509,A,BUY,231,231,107,46.32,84.29,231,98,42.42,78.67,462,90,19.48,86.82,462,186,40.26,88.48
202510,SS,BUY,373,373,231,61.93,86.38,373,115,30.83,89.62,746,172,23.06,88.53,746,293,39.28,79.08
202510,S,BUY,193,193,104,53.89,85.54,193,87,45.08,87.10,386,80,20.73,79.27,386,158,40.93,83.70
202510,A,BUY,253,253,92,36.36,66.52,253,103,40.71,67.04,506,85,16.80,69.60,506,193,38.14,81.19
202511,SS,BUY,363,363,210,57.85,80.88,363,101,27.82,77.37,726,147,20.25,74.94,726,274,37.74,77.80
202511,S,BUY,223,223,110,49.33,79.60,223,97,43.50,74.57,446,86,19.28,71.91,446,167,37.44,72.85
202511,A,BUY,250,250,101,40.40,71.08,250,93,37.20,64.31,500,95,19.00,71.24,500,183,36.60,73.50
202512,SS,BUY,320,320,193,60.31,84.78,320,94,29.38,76.38,640,147,22.97,91.91,640,260,40.62,81.72
202512,S,BUY,201,201,108,53.73,84.63,201,86,42.79,85.31,402,84,20.90,84.18,402,150,37.31,76.22
202512,A,BUY,205,205,83,40.49,76.34,205,88,42.93,74.51,410,81,19.76,83.34,410,160,39.02,82.49
