yyyymm,confidence,skip_aware_strategy,race_played,tansho_played,tansho_hit,tansho_hit_pct,tansho_roi,sanren_played,sanren_hit,sanren_hit_pct,sanren_roi,umaren_ab_played,umaren_ab_hit,umaren_ab_hit_pct,umaren_ab_roi,wide_ab_played,wide_ab_hit,wide_ab_hit_pct,wide_ab_roi
202401,SS,BUY,39,39,17,43.59,123.59,39,4,10.26,74.42,78,8,10.26,108.46,78,15,19.23,69.23
202401,S,BUY,106,106,27,25.47,68.02,106,33,31.13,63.73,212,23,10.85,61.75,212,57,26.89,65.61
202401,A,BUY,193,193,62,32.12,69.07,193,47,24.35,60.23,386,42,10.88,76.06,386,89,23.06,67.95
202401,B,BUY,767,767,225,29.34,75.18,767,279,36.38,74.22,1534,175,11.41,71.30,1534,376,24.51,78.46
202401,C,BUY,125,125,32,25.60,59.44,125,57,45.60,51.38,250,34,13.60,70.28,250,75,30.00,87.56
202402,SS,BUY,59,59,24,40.68,69.32,59,16,27.12,60.08,118,17,14.41,65.93,118,36,30.51,73.47
202402,S,BUY,110,110,47,42.73,81.82,110,41,37.27,67.87,220,42,19.09,121.45,220,66,30.00,76.45
202402,A,BUY,172,172,60,34.88,68.43,172,53,30.81,48.55,344,42,12.21,67.18,344,94,27.33,69.88
202402,B,BUY,659,659,190,28.83,74.13,659,260,39.45,55.05,1318,168,12.75,72.09,1318,377,28.60,71.03
202402,C,BUY,83,83,36,43.37,110.60,83,51,61.45,58.99,166,25,15.06,65.42,166,64,38.55,78.37
202403,SS,BUY,80,80,35,43.75,76.00,80,15,18.75,58.44,160,23,14.37,71.31,160,16,10.00,27.81
202403,S,BUY,141,141,48,34.04,67.09,141,44,31.21,64.53,282,42,14.89,73.94,282,19,6.74,21.42
202403,A,BUY,187,187,70,37.43,81.39,187,55,29.41,68.44,374,40,10.70,65.75,374,23,6.15,17.67
202403,B,BUY,785,785,217,27.64,73.46,785,309,39.36,67.17,1570,171,10.89,72.32,1570,87,5.54,18.55
202403,C,BUY,86,86,27,31.40,101.40,86,34,39.53,60.39,172,17,9.88,60.41,172,5,2.91,12.50
202404,SS,BUY,82,82,31,37.80,64.63,82,20,24.39,101.74,164,21,12.80,67.44,164,29,17.68,40.85
202404,S,BUY,142,142,51,35.92,61.13,142,47,33.10,69.40,284,35,12.32,71.87,284,53,18.66,55.67
202404,A,BUY,264,264,87,32.95,70.98,264,84,31.82,73.32,528,59,11.17,63.98,528,79,14.96,42.05
202404,B,BUY,890,890,254,28.54,75.15,890,365,41.01,69.17,1780,219,12.30,71.20,1780,294,16.52,49.50
202404,C,BUY,82,82,25,30.49,88.17,82,43,52.44,72.65,164,18,10.98,54.33,164,36,21.95,51.89
202405,SS,BUY,82,82,43,52.44,86.22,82,15,18.29,48.29,164,24,14.63,64.27,164,45,27.44,61.16
