valid_month,strategy,ticket,played,hit,hit_pct,roi_pct
2024-04,all,tansho,1454,581,39.96,78.35
2024-04,all,umaren,1454,300,20.63,78.42
2024-04,all,wide,1454,344,23.66,47.96
2024-04,all,sanrenpuku,1454,207,14.24,79.18
2024-04,all,sanrentan,1454,53,3.65,59.21
2024-04,S3,tansho,586,292,49.83,74.52
2024-04,S3,umaren,586,122,20.82,62.82
2024-04,S3,wide,586,123,20.99,39.54
2024-04,S3,sanrenpuku,586,80,13.65,76.81
2024-04,S3,sanrentan,586,29,4.95,68.33
2024-05,all,tansho,1477,576,39.0,73.21
2024-05,all,umaren,1477,309,20.92,73.3
2024-05,all,wide,1477,556,37.64,74.71
2024-05,all,sanrenpuku,1477,173,11.71,67.18
2024-05,all,sanrentan,1477,53,3.59,74.77
2024-05,S3,tansho,494,281,56.88,81.9
2024-05,S3,umaren,494,109,22.06,75.12
2024-05,S3,wide,494,182,36.84,68.58
2024-05,S3,sanrenpuku,494,51,10.32,61.46
2024-05,S3,sanrentan,494,19,3.85,64.76
2024-06,all,tansho,1549,661,42.67,79.94
2024-06,all,umaren,1549,363,23.43,79.21
2024-06,all,wide,1549,676,43.64,82.57
2024-06,all,sanrenpuku,1549,226,14.59,75.56
2024-06,all,sanrentan,1549,79,5.1,69.85
2024-06,S3,tansho,749,412,55.01,82.59
2024-06,S3,umaren,749,186,24.83,78.02
2024-06,S3,wide,749,330,44.06,78.46
2024-06,S3,sanrenpuku,749,111,14.82,70.8
2024-06,S3,sanrentan,749,54,7.21,81.2
2024-07,all,tansho,1543,628,40.7,80.14
2024-07,all,umaren,1543,298,19.31,68.17
2024-07,all,wide,1543,604,39.14,76.16
2024-07,all,sanrenpuku,1543,199,12.9,72.79
2024-07,all,sanrentan,1543,49,3.18,50.8
2024-07,S3,tansho,57,38,66.67,74.21
2024-07,S3,umaren,57,11,19.3,64.39
2024-07,S3,wide,57,26,45.61,80.18
2024-07,S3,sanrenpuku,57,9,15.79,108.77
2024-07,S3,sanrentan,57,2,3.51,62.28
2024-08,all,tansho,1332,540,40.54,77.67
2024-08,all,umaren,1332,295,22.15,86.9
2024-08,all,wide,1332,547,41.07,82.66
2024-08,all,sanrenpuku,1332,198,14.86,84.06
2024-08,all,sanrentan,1332,57,4.28,78.04
2024-08,S3,tansho,598,313,52.34,81.66
2024-08,S3,umaren,598,141,23.58,82.56
2024-08,S3,wide,598,255,42.64,81.35
2024-08,S3,sanrenpuku,598,94,15.72,88.6
2024-08,S3,sanrentan,598,34,5.69,103.61
2024-09,all,tansho,1423,615,43.22,83.91
2024-09,all,umaren,1423,322,22.63,81.13
2024-09,all,wide,1423,602,42.3,84.94
