valid_month,strategy,ticket,played,hit,hit_pct,roi_pct,payout_sum,judgment
2024-09,all,tansho,1423,615,43.2186,83.9143,119410.0,
2024-09,all,umaren,1423,322,22.6283,81.1314,115450.0,
2024-09,all,wide,1423,602,42.305,84.9403,120870.0,
2024-09,all,sanrenpuku,1423,203,14.2656,74.2516,105660.0,
2024-09,all,sanrentan,1423,63,4.4273,74.6311,106200.0,
2024-09,S3,tansho,680,350,51.4706,84.2206,57270.0,
2024-09,S3,umaren,680,152,22.3529,72.2353,49120.0,
2024-09,S3,wide,680,287,42.2059,79.8382,54290.0,
2024-09,S3,sanrenpuku,680,98,14.4118,70.4853,47930.0,
2024-09,S3,sanrentan,680,34,5.0,65.3529,44440.0,
2024-12,all,tansho,1441,616,42.7481,79.7294,114890.0,
2024-12,all,umaren,1441,340,23.5947,79.7988,114990.0,
2024-12,all,wide,1441,627,43.5115,82.5121,118900.0,
2024-12,all,sanrenpuku,1441,207,14.365,84.5108,121780.0,
2024-12,all,sanrentan,1441,71,4.9271,103.6988,149430.0,△ ROI 100%+
2024-12,S3,tansho,722,393,54.4321,85.9834,62080.0,
2024-12,S3,umaren,722,182,25.2078,80.4155,58060.0,
2024-12,S3,wide,722,318,44.0443,81.3296,58720.0,
2024-12,S3,sanrenpuku,722,104,14.4044,85.097,61440.0,
2024-12,S3,sanrentan,722,44,6.0942,102.2715,73840.0,△ ROI 100%+
2025-03,all,tansho,1406,588,41.8208,81.2731,114270.0,
2025-03,all,umaren,1406,288,20.4836,75.0498,105520.0,
2025-03,all,wide,1406,546,38.8336,128.7909,181080.0,✅ マスター基準達成
2025-03,all,sanrenpuku,1406,178,12.66,74.2461,104390.0,
2025-03,all,sanrentan,1406,53,3.7696,61.3585,86270.0,
2025-03,S3,tansho,664,346,52.1084,83.1476,55210.0,
2025-03,S3,umaren,664,147,22.1386,77.244,51290.0,
2025-03,S3,wide,664,279,42.0181,139.8494,92860.0,✅ マスター基準達成
2025-03,S3,sanrenpuku,664,94,14.1566,82.3494,54680.0,
2025-03,S3,sanrentan,664,30,4.5181,67.1988,44620.0,
2025-06,all,tansho,1476,581,39.3631,76.5447,112980.0,
2025-06,all,umaren,1476,309,20.935,76.7886,113340.0,
2025-06,all,wide,1476,586,39.7019,147.9336,218350.0,✅ マスター基準達成
2025-06,all,sanrenpuku,1476,180,12.1951,72.5407,107070.0,
2025-06,all,sanrentan,1476,45,3.0488,59.3428,87590.0,
2025-06,S3,tansho,615,312,50.7317,79.3171,48780.0,
2025-06,S3,umaren,615,129,20.9756,73.3008,45080.0,
2025-06,S3,wide,615,257,41.7886,160.3902,98640.0,✅ マスター基準達成
2025-06,S3,sanrenpuku,615,79,12.8455,78.8455,48490.0,
2025-06,S3,sanrentan,615,21,3.4146,49.4472,30410.0,
2025-09,all,tansho,1438,620,43.1154,79.6245,114500.0,
2025-09,all,umaren,1438,331,23.0181,77.8442,111940.0,
2025-09,all,wide,1438,602,41.8637,130.7719,188050.0,✅ マスター基準達成
2025-09,all,sanrenpuku,1438,237,16.4812,81.3143,116930.0,
2025-09,all,sanrentan,1438,70,4.8679,73.7483,106050.0,
2025-09,S3,tansho,697,373,53.5151,82.8407,57740.0,
2025-09,S3,umaren,697,173,24.8207,81.6643,56920.0,
2025-09,S3,wide,697,309,44.3329,132.769,92540.0,✅ マスター基準達成
2025-09,S3,sanrenpuku,697,127,18.2209,98.8953,68930.0,
2025-09,S3,sanrentan,697,41,5.8824,88.0344,61360.0,
2025-12,all,tansho,1419,625,44.0451,80.8175,114680.0,
2025-12,all,umaren,1419,354,24.9471,84.1156,119360.0,
2025-12,all,wide,1419,623,43.9042,132.2551,187670.0,✅ マスター基準達成
2025-12,all,sanrenpuku,1419,229,16.1381,78.654,111610.0,
2025-12,all,sanrentan,1419,67,4.7216,70.4369,99950.0,
2025-12,S3,tansho,688,375,54.5058,82.064,56460.0,
2025-12,S3,umaren,688,170,24.7093,80.7703,55570.0,
2025-12,S3,wide,688,306,44.4767,127.7035,87860.0,✅ マスター基準達成
2025-12,S3,sanrenpuku,688,110,15.9884,80.5814,55440.0,
2025-12,S3,sanrentan,688,39,5.6686,82.0349,56440.0,
