rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.162685,23.5650
2,field_count,0.095486,13.8312
3,venue_sim_place_rate,0.058846,8.5239
4,jockey_sim_venue_dist_pr,0.054131,7.8408
5,jockey_place_rank_in_race,0.041452,6.0044
6,trainer_place_rank_in_race,0.034488,4.9956
7,horse_venue_pr,0.030511,4.4195
8,jockey_pr_2y,0.028850,4.1789
9,jockey_place_rate_90d,0.028330,4.1037
10,style_pace_affinity,0.020163,2.9205
11,dev_run2_adj,0.020115,2.9137
12,relative_dev_mean_5,0.017665,2.5587
13,trainer_horse_pr,0.014483,2.0979
14,relative_dev_recent,0.011452,1.6589
15,front_runner_count_in_race,0.010269,1.4874
16,jt_combo_wr,0.008751,1.2676
17,venue_code,0.007220,1.0459
18,jockey_smile_pr,0.006674,0.9668
19,relative_dev_max_5,0.006294,0.9117
20,trainer_pr_2y,0.004515,0.6541
21,jockey_dist_pr,0.003867,0.5602
22,is_jockey_change,0.002175,0.3150
23,grade_code,0.002113,0.3061
24,kishu_pattern_code,0.001809,0.2620
25,horse_days_since,0.001665,0.2412
26,jockey_surf_dist_pr,0.001583,0.2293
27,horse_jockey_pr,0.001346,0.1950
28,past_avg_outer_ratio,0.001214,0.1758
29,trainer_surf_dist_pr,0.001036,0.1500
30,trainer_place_rate_90d,0.000966,0.1399
