rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.162508,23.0845
2,field_count,0.097767,13.8880
3,venue_sim_place_rate,0.049675,7.0565
4,jockey_sim_venue_dist_pr,0.046979,6.6734
5,jockey_place_rank_in_race,0.043324,6.1543
6,horse_venue_pr,0.039669,5.6350
7,trainer_place_rank_in_race,0.036344,5.1627
8,jockey_place_rate_90d,0.027817,3.9514
9,style_pace_affinity,0.022297,3.1673
10,dev_run2_adj,0.021046,2.9896
11,relative_dev_mean_5,0.020158,2.8635
12,jt_combo_wr,0.019275,2.7380
13,trainer_horse_pr,0.017478,2.4828
14,jockey_smile_pr,0.013265,1.8843
15,relative_dev_recent,0.013242,1.8810
16,front_runner_count_in_race,0.009651,1.3709
17,relative_dev_max_5,0.008133,1.1553
18,jockey_dist_pr,0.007779,1.1050
19,jockey_pr_2y,0.006214,0.8827
20,venue_code,0.005829,0.8280
21,trainer_pr_2y,0.005527,0.7851
22,horse_jockey_pr,0.003502,0.4975
23,ml_pos_est,0.003044,0.4325
24,is_jockey_change,0.002493,0.3542
25,horse_days_since,0.002299,0.3265
26,trainer_surf_dist_pr,0.001675,0.2379
27,past_corner_loss_sec_avg,0.001261,0.1791
28,trend_position_slope,0.001197,0.1700
29,past_avg_outer_ratio,0.001166,0.1657
30,grade_code,0.000994,0.1412
