rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.101723,21.7045
2,field_count,0.057347,12.2361
3,jockey_place_rank_in_race,0.052392,11.1789
4,venue_sim_place_rate,0.030729,6.5566
5,trainer_place_rank_in_race,0.021220,4.5278
6,age,0.020958,4.4717
7,horse_avg_finish,0.019461,4.1523
8,jockey_place_rate_90d,0.016538,3.5286
9,relative_dev_mean_5,0.016321,3.4823
10,trainer_pr_2y,0.012904,2.7532
11,jockey_pr_2y,0.009737,2.0775
12,grade_code,0.008675,1.8509
13,jockey_win_rate,0.008438,1.8003
14,relative_dev_recent,0.006984,1.4901
15,relative_dev_max_5,0.005912,1.2614
16,kishu_pattern_code,0.005640,1.2033
17,dev_run2_adj,0.005265,1.1234
18,trainer_cond_pr,0.004522,0.9648
19,class_change,0.004075,0.8696
20,jockey_smile_pr,0.003687,0.7867
21,sire_context_pr,0.003209,0.6847
22,horse_pr_2y,0.002884,0.6154
23,speed_index_adj_6m,0.002873,0.6131
24,speed_index_avg_6m,0.002658,0.5672
25,jockey_sim_venue_dist_pr,0.002056,0.4388
26,trainer_win_rate,0.002039,0.4351
27,front_runner_count_in_race,0.001930,0.4119
28,jockey_win_rate_90d,0.001891,0.4035
29,train_stable_mark,0.001792,0.3824
30,venue_sim_runs,0.001775,0.3786
