rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.115356,17.1715
2,jockey_place_rank_in_race,0.055150,8.2094
3,field_count,0.048480,7.2165
4,relative_dev_mean_5,0.048019,7.1479
5,jockey_win_rate,0.036538,5.4390
6,jockey_pr_2y,0.024182,3.5997
7,age,0.023864,3.5523
8,venue_sim_place_rate,0.013073,1.9460
9,relative_dev_recent,0.011878,1.7682
10,jockey_smile_pr,0.011843,1.7629
11,relative_dev_max_5,0.010648,1.5850
12,jockey_place_rate_90d,0.009825,1.4625
13,horse_avg_finish,0.008949,1.3322
14,jockey_dist_pr,0.008815,1.3122
15,trainer_win_rate,0.008174,1.2168
16,dev_run2_adj,0.008115,1.2079
17,horse_dist_pr,0.008075,1.2020
18,horse_context_pr,0.008024,1.1944
19,trainer_place_rank_in_race,0.007198,1.0715
20,trainer_sim_venue_dist_pr,0.006954,1.0352
21,venue_sim_win_rate,0.006855,1.0205
22,speed_index_trend,0.006581,0.9797
23,trainer_cond_pr,0.006512,0.9694
24,pace_count_fast,0.006454,0.9608
25,same_dir_place_rate,0.006357,0.9463
26,past_corner_loss_sec_avg,0.006136,0.9134
27,past_avg_outer_ratio,0.006087,0.9060
28,jt_combo_place_rate_30d,0.005869,0.8737
29,trainer_pr_2y,0.005404,0.8044
30,style_surface_wr,0.005256,0.7823
