rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.110208,21.0683
2,jockey_place_rank_in_race,0.051716,9.8865
3,field_count,0.043344,8.2860
4,horse_avg_finish,0.033715,6.4453
5,trainer_place_rank_in_race,0.020456,3.9105
6,venue_sim_place_rate,0.018894,3.6119
7,jockey_place_rate_90d,0.016668,3.1864
8,jockey_pr_2y,0.014734,2.8167
9,dev_run2_adj,0.013192,2.5219
10,relative_dev_mean_5,0.012302,2.3518
11,jockey_win_rate,0.011555,2.2090
12,age,0.010541,2.0151
13,grade_code,0.010499,2.0070
14,horse_pr_2y,0.009155,1.7502
15,relative_dev_max_5,0.009122,1.7438
16,horse_context_pr,0.007099,1.3571
17,relative_dev_recent,0.007086,1.3546
18,front_runner_count_in_race,0.005964,1.1401
19,trainer_cond_pr,0.005568,1.0644
20,venue_sim_runs,0.004594,0.8782
21,kishu_pattern_code,0.004384,0.8381
22,jt_combo_place_rate_30d,0.004122,0.7880
23,trend_position_slope,0.003906,0.7467
24,trainer_horse_pr,0.003887,0.7431
25,same_dir_place_rate,0.003642,0.6963
26,same_dir_runs,0.003613,0.6907
27,sire_context_pr,0.003442,0.6580
28,speed_index_adj_6m,0.003390,0.6481
29,past_corner_loss_sec_avg,0.003225,0.6165
30,class_change,0.003182,0.6082
