rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.134155,19.4632
2,jockey_place_rank_in_race,0.084524,12.2629
3,field_count,0.047043,6.8250
4,trainer_place_rank_in_race,0.037480,5.4377
5,relative_dev_mean_5,0.030407,4.4114
6,venue_sim_place_rate,0.030024,4.3559
7,horse_avg_finish,0.022088,3.2046
8,relative_dev_max_5,0.021000,3.0466
9,age,0.018820,2.7305
10,jockey_win_rate_90d,0.012533,1.8183
11,trainer_win_rate,0.012175,1.7664
12,style_surface_wr,0.011807,1.7130
13,relative_dev_recent,0.010916,1.5837
14,jockey_place_rate_90d,0.010633,1.5426
15,jockey_pr_2y,0.009480,1.3754
16,dev_run2_adj,0.009390,1.3624
17,jt_combo_place_rate_30d,0.008634,1.2527
18,jockey_win_rate,0.008576,1.2442
19,grade_code,0.007805,1.1323
20,jockey_dist_pr,0.007180,1.0416
21,trainer_pr_2y,0.006965,1.0105
22,speed_index_adj_6m,0.006753,0.9797
23,venue_sim_win_rate,0.006024,0.8740
24,class_change,0.005799,0.8413
25,horse_days_since,0.004347,0.6307
26,jockey_cond_pr,0.004134,0.5997
27,kishu_pattern_code,0.003874,0.5621
28,venue_sim_runs,0.003785,0.5491
29,jockey_surf_dist_pr,0.003778,0.5481
30,gate_no,0.003616,0.5246
