rank,feature_name,mean_abs_shap,relative_pct
1,horse_avg_finish,0.101484,18.8784
2,field_count,0.078519,14.6063
3,jockey_place_rank_in_race,0.069969,13.0158
4,dev_run1_adj,0.050849,9.4591
5,relative_dev_mean_5,0.031478,5.8556
6,jockey_pr_2y,0.029613,5.5086
7,venue_sim_place_rate,0.021629,4.0235
8,trainer_place_rank_in_race,0.015711,2.9227
9,jockey_sim_venue_dist_pr,0.014618,2.7193
10,relative_dev_max_5,0.008844,1.6453
11,jockey_place_rate_90d,0.008511,1.5833
12,grade_code,0.008298,1.5436
13,jockey_cond_pr,0.007868,1.4637
14,horse_pr_2y,0.007580,1.4101
15,dev_run2_adj,0.006901,1.2837
16,jockey_surf_dist_pr,0.006588,1.2255
17,jockey_win_rate,0.004908,0.9130
18,relative_dev_recent,0.004838,0.9000
19,age,0.004636,0.8625
20,trainer_win_rate,0.004504,0.8379
21,trainer_pr_2y,0.003918,0.7289
22,trainer_cond_pr,0.003780,0.7031
23,speed_index_avg_6m,0.003595,0.6687
24,horse_win_rate,0.003101,0.5768
25,speed_index_adj_6m,0.003052,0.5677
26,trainer_sim_venue_dist_pr,0.002445,0.4548
27,trainer_place_rate_90d,0.002235,0.4158
28,bms_context_pr,0.001517,0.2823
29,trainer_dist_pr,0.001480,0.2754
30,trainer_surf_dist_pr,0.001440,0.2679
