rank,feature_name,mean_abs_shap,relative_pct
1,horse_avg_finish,0.130075,19.7066
2,jockey_place_rank_in_race,0.081939,12.4139
3,field_count,0.078654,11.9163
4,dev_run1_adj,0.044158,6.6901
5,jockey_place_rate_90d,0.029561,4.4785
6,venue_sim_place_rate,0.027597,4.1809
7,jockey_win_rate,0.024052,3.6439
8,trainer_place_rank_in_race,0.017451,2.6439
9,relative_dev_max_5,0.016312,2.4713
10,relative_dev_mean_5,0.015382,2.3304
11,jockey_pr_2y,0.011479,1.7392
12,dev_run2_adj,0.010539,1.5967
13,relative_dev_recent,0.007608,1.1527
14,trainer_place_rate_90d,0.007520,1.1394
15,trainer_horse_pr,0.007333,1.1109
16,grade_code,0.007250,1.0984
17,jt_combo_place_rate_30d,0.006303,0.9550
18,horse_win_rate,0.005498,0.8329
19,trainer_sim_venue_dist_pr,0.004363,0.6610
20,venue_sim_win_rate,0.004274,0.6475
21,horse_pr_2y,0.004109,0.6225
22,trainer_win_rate,0.004066,0.6160
23,horse_jockey_pr,0.004054,0.6141
24,age,0.004037,0.6116
25,jockey_cond_pr,0.003880,0.5878
26,horse_dist_pr,0.003785,0.5735
27,trainer_cond_pr,0.003781,0.5728
28,venue_sim_runs,0.003699,0.5604
29,speed_index_adj_6m,0.003661,0.5547
30,trend_position_slope,0.003592,0.5442
