rank,feature_name,mean_abs_shap,relative_pct
1,relative_dev_mean_5,0.100049,16.2726
2,jockey_place_rank_in_race,0.057243,9.3104
3,field_count,0.047893,7.7896
4,dev_run1_adj,0.035449,5.7656
5,jockey_pr_2y,0.035147,5.7165
6,horse_avg_finish,0.026011,4.2306
7,age,0.019531,3.1767
8,dev_run2_adj,0.016745,2.7235
9,trainer_place_rank_in_race,0.015061,2.4497
10,jockey_cond_pr,0.014823,2.4108
11,jockey_win_rate,0.014315,2.3282
12,venue_sim_place_rate,0.012824,2.0858
13,horse_dist_pr,0.011064,1.7995
14,jockey_place_rate_90d,0.010714,1.7425
15,speed_index_avg_6m,0.010283,1.6725
16,jockey_sim_venue_dist_pr,0.009056,1.4729
17,trainer_place_rate_90d,0.008231,1.3388
18,horse_condition_match,0.007374,1.1994
19,same_dir_place_rate,0.007372,1.1991
20,jt_combo_wr_30d,0.007076,1.1509
21,venue_sim_win_rate,0.006826,1.1102
22,ml_pos_est,0.006579,1.0701
23,trainer_surf_dist_pr,0.006129,0.9968
24,relative_dev_max_5,0.005946,0.9671
25,front_runner_count_in_race,0.005777,0.9396
26,trainer_cond_pr,0.005305,0.8628
27,speed_index_adj_6m,0.005101,0.8297
28,speed_index_best_1y,0.004831,0.7857
29,past_corner_loss_sec_avg,0.004729,0.7692
30,grade_code,0.004525,0.7359
