rank,feature_name,mean_abs_shap,relative_pct
1,horse_avg_finish,0.123741,15.9848
2,jockey_place_rank_in_race,0.117446,15.1716
3,field_count,0.095517,12.3389
4,dev_run1_adj,0.068109,8.7983
5,jockey_pr_2y,0.059247,7.6535
6,jockey_place_rate_90d,0.028053,3.6239
7,trainer_place_rank_in_race,0.025285,3.2663
8,venue_sim_place_rate,0.018755,2.4227
9,dev_run2_adj,0.015192,1.9625
10,relative_dev_mean_5,0.012484,1.6127
11,relative_dev_max_5,0.012359,1.5966
12,grade_code,0.011364,1.4680
13,speed_index_adj_6m,0.007251,0.9367
14,trainer_surf_dist_pr,0.006806,0.8792
15,front_runner_count_in_race,0.006202,0.8012
16,relative_dev_recent,0.006105,0.7887
17,jockey_sim_venue_dist_pr,0.006013,0.7768
18,trend_position_slope,0.005891,0.7610
19,jockey_surf_dist_pr,0.005831,0.7532
20,trainer_pr_2y,0.005800,0.7493
21,trainer_cond_pr,0.005675,0.7331
22,past_corner_loss_sec_avg,0.004993,0.6450
23,trainer_place_rate_90d,0.004923,0.6359
24,trainer_win_rate,0.004735,0.6117
25,jt_combo_place_rate_30d,0.004670,0.6032
26,horse_context_pr,0.004506,0.5821
27,horse_pr_2y,0.004470,0.5775
28,trainer_win_rate_90d,0.004393,0.5675
29,same_dir_place_rate,0.004220,0.5451
30,age,0.004200,0.5425
