rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.076474,15.5146
2,jockey_place_rank_in_race,0.055643,11.2886
3,horse_avg_finish,0.055475,11.2546
4,dev_run1_adj,0.034111,6.9202
5,venue_sim_place_rate,0.022171,4.4980
6,jockey_pr_2y,0.021602,4.3826
7,jockey_sim_venue_dist_pr,0.017315,3.5127
8,trainer_place_rank_in_race,0.013680,2.7753
9,relative_dev_mean_5,0.013392,2.7168
10,jockey_cond_pr,0.010690,2.1687
11,trainer_place_rate_90d,0.009001,1.8260
12,jockey_smile_pr,0.008027,1.6285
13,relative_dev_recent,0.007548,1.5314
14,trainer_cond_pr,0.007269,1.4747
15,jockey_place_rate_90d,0.006901,1.4000
16,jockey_surf_dist_pr,0.005410,1.0976
17,relative_dev_max_5,0.005177,1.0503
18,jockey_win_rate_90d,0.004533,0.9195
19,trainer_surf_dist_pr,0.004489,0.9108
20,horse_context_pr,0.004469,0.9067
21,trainer_win_rate_90d,0.004308,0.8739
22,dev_run2_adj,0.004237,0.8596
23,style_pace_affinity,0.004134,0.8386
24,jockey_win_rate,0.004043,0.8202
25,horse_pr_2y,0.004025,0.8166
26,speed_index_adj_6m,0.003893,0.7897
27,grade_code,0.003701,0.7509
28,past_corner_loss_sec_last,0.003523,0.7147
29,bms_surf_wr,0.003496,0.7092
30,bms_win_rate,0.003377,0.6852
