rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.190360,23.3999
2,horse_venue_pr,0.111652,13.7249
3,field_count,0.084656,10.4063
4,jockey_place_rank_in_race,0.073813,9.0734
5,style_pace_affinity,0.041451,5.0953
6,trainer_place_rank_in_race,0.039715,4.8820
7,jockey_sim_venue_dist_pr,0.038069,4.6796
8,dev_run2_adj,0.032005,3.9343
9,jt_combo_wr,0.028582,3.5134
10,venue_sim_place_rate,0.022613,2.7798
11,relative_dev_mean_5,0.019548,2.4029
12,trainer_horse_pr,0.015265,1.8765
13,front_runner_count_in_race,0.015103,1.8565
14,relative_dev_recent,0.015073,1.8529
15,relative_dev_max_5,0.013550,1.6656
16,jockey_place_rate_90d,0.008840,1.0867
17,jockey_smile_pr,0.008605,1.0578
18,venue_code,0.005474,0.6729
19,horse_days_since,0.003945,0.4850
20,past_corner_loss_sec_avg,0.003592,0.4415
21,ml_pos_est,0.003167,0.3893
22,jockey_pr_2y,0.002990,0.3675
23,speed_index_adj_6m,0.002809,0.3453
24,horse_jockey_pr,0.002350,0.2889
25,speed_index_avg_6m,0.002337,0.2873
26,venue_sim_runs,0.002276,0.2797
27,first_corner_m,0.002075,0.2551
28,trend_position_slope,0.001985,0.2441
29,is_jockey_change,0.001950,0.2397
30,jockey_surf_dist_pr,0.001781,0.2189
