rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.303607,13.8409
2,field_count,0.222936,10.1632
3,jockey_place_rank_in_race,0.197091,8.9850
4,dev_run2_adj,0.173886,7.9272
5,venue_code,0.092106,4.1989
6,horse_venue_pr,0.089543,4.0821
7,venue_sim_place_rate,0.054180,2.4699
8,front_runner_count_in_race,0.050425,2.2988
9,venue_sim_runs,0.047763,2.1774
10,trainer_place_rank_in_race,0.044068,2.0090
11,pace_pressure_index,0.041897,1.9100
12,horse_dist_pr,0.040630,1.8522
13,relative_dev_max_5,0.038989,1.7774
14,relative_dev_mean_5,0.030774,1.4029
15,speed_index_avg_6m,0.028999,1.3220
16,venue_sim_win_rate,0.027996,1.2763
17,age,0.026827,1.2230
18,speed_index_adj_6m,0.026262,1.1972
19,ml_pos_est,0.026014,1.1859
20,horse_days_since,0.022329,1.0179
21,trainer_pr_2y,0.022169,1.0106
22,trainer_dist_pr,0.021982,1.0021
23,style_pace_affinity,0.021811,0.9943
24,trainer_place_rate_90d,0.021323,0.9721
25,trainer_smile_pr,0.020828,0.9495
26,jt_combo_wr,0.020124,0.9174
27,horse_jockey_pr,0.019701,0.8981
28,past_corner_loss_sec_last,0.017883,0.8153
29,trainer_horse_pr,0.017706,0.8072
30,jockey_place_rate_90d,0.015767,0.7188
