rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.192243,24.0162
2,horse_venue_pr,0.097912,12.2318
3,field_count,0.078525,9.8098
4,jockey_place_rank_in_race,0.074006,9.2453
5,venue_sim_place_rate,0.034042,4.2527
6,trainer_place_rank_in_race,0.034003,4.2479
7,dev_run2_adj,0.023362,2.9185
8,jockey_sim_venue_dist_pr,0.022647,2.8292
9,jt_combo_wr,0.022557,2.8179
10,relative_dev_mean_5,0.021864,2.7314
11,jockey_pr_2y,0.021224,2.6515
12,front_runner_count_in_race,0.019087,2.3845
13,jockey_place_rate_90d,0.016258,2.0311
14,style_pace_affinity,0.014284,1.7845
15,trainer_horse_pr,0.013799,1.7239
16,relative_dev_recent,0.012193,1.5233
17,relative_dev_max_5,0.010026,1.2525
18,venue_sim_runs,0.007063,0.8823
19,venue_code,0.005987,0.7479
20,horse_days_since,0.005262,0.6574
21,ml_pos_est,0.004776,0.5966
22,past_avg_outer_ratio,0.004340,0.5421
23,jockey_smile_pr,0.003941,0.4924
24,past_corner_loss_sec_last,0.003734,0.4665
25,past_corner_loss_sec_avg,0.003697,0.4618
26,horse_dist_pr,0.003628,0.4532
27,horse_jockey_pr,0.003527,0.4407
28,jt_combo_wr_30d,0.003466,0.4330
29,trainer_place_rate_90d,0.002548,0.3183
30,same_dir_runs,0.002334,0.2915
