rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.146447,24.9206
2,field_count,0.053817,9.1579
3,dev_run2_adj,0.049727,8.4620
4,jockey_place_rank_in_race,0.031308,5.3276
5,horse_venue_pr,0.025337,4.3115
6,jt_combo_wr,0.022574,3.8414
7,trainer_place_rank_in_race,0.018329,3.1191
8,jockey_place_rate_90d,0.017512,2.9800
9,jockey_sim_venue_dist_pr,0.015639,2.6612
10,jockey_dist_pr,0.014764,2.5124
11,relative_dev_recent,0.014752,2.5103
12,horse_jockey_pr,0.013763,2.3419
13,venue_sim_place_rate,0.013584,2.3116
14,ml_pos_est,0.009976,1.6976
15,style_pace_affinity,0.009972,1.6970
16,past_avg_outer_ratio,0.008592,1.4621
17,trainer_horse_pr,0.007976,1.3573
18,jockey_smile_pr,0.007918,1.3474
19,speed_index_adj_6m,0.007401,1.2594
20,relative_dev_mean_5,0.006865,1.1682
21,past_corner_loss_sec_last,0.006269,1.0667
22,past_corner_loss_sec_avg,0.005844,0.9944
23,speed_index_avg_6m,0.004953,0.8428
24,horse_dist_pr,0.004902,0.8341
25,jockey_win_rate,0.004860,0.8271
26,jockey_pr_2y,0.004510,0.7675
27,is_jockey_change,0.003459,0.5886
28,first_corner_m,0.003174,0.5401
29,horse_running_style,0.003124,0.5316
30,trainer_sim_venue_dist_pr,0.002874,0.4890
