rank,feature_name,mean_abs_shap,relative_pct
1,horse_venue_pr,0.211562,21.1962
2,dev_run1_adj,0.169623,16.9943
3,jockey_place_rank_in_race,0.115804,11.6023
4,field_count,0.099303,9.9491
5,trainer_place_rank_in_race,0.060126,6.0239
6,style_pace_affinity,0.040511,4.0588
7,dev_run2_adj,0.029708,2.9764
8,relative_dev_mean_5,0.028041,2.8094
9,jt_combo_wr,0.025330,2.5378
10,venue_sim_place_rate,0.021003,2.1043
11,trainer_horse_pr,0.020935,2.0975
12,relative_dev_recent,0.020555,2.0594
13,front_runner_count_in_race,0.019463,1.9500
14,relative_dev_max_5,0.017108,1.7140
15,venue_code,0.011175,1.1197
16,jockey_sim_venue_dist_pr,0.009898,0.9917
17,speed_index_adj_6m,0.009196,0.9213
18,speed_index_avg_6m,0.008882,0.8899
19,pace_pressure_index,0.008348,0.8364
20,ml_pos_est,0.008269,0.8285
21,jockey_place_rate_90d,0.008034,0.8050
22,venue_sim_runs,0.006988,0.7001
23,jockey_pr_2y,0.006630,0.6643
24,horse_days_since,0.004427,0.4435
25,past_corner_loss_sec_avg,0.003274,0.3280
26,past_avg_outer_ratio,0.002822,0.2828
27,trainer_place_rate_90d,0.002225,0.2229
28,jockey_win_rate,0.001814,0.1817
29,jockey_smile_pr,0.001799,0.1802
30,trainer_pr_2y,0.001782,0.1786
