rank,feature_name,mean_abs_shap,relative_pct
1,horse_avg_finish,0.092089,17.4174
2,field_count,0.081078,15.3349
3,jockey_place_rank_in_race,0.062239,11.7716
4,dev_run1_adj,0.051104,9.6657
5,jockey_pr_2y,0.050152,9.4856
6,venue_sim_place_rate,0.022292,4.2162
7,relative_dev_mean_5,0.018817,3.5590
8,trainer_place_rank_in_race,0.016208,3.0656
9,jockey_cond_pr,0.013871,2.6236
10,jockey_place_rate_90d,0.010978,2.0764
11,jockey_sim_venue_dist_pr,0.010288,1.9459
12,jockey_win_rate,0.008742,1.6534
13,grade_code,0.007862,1.4870
14,dev_run2_adj,0.006963,1.3170
15,relative_dev_recent,0.006958,1.3161
16,speed_index_adj_6m,0.004588,0.8678
17,horse_pr_2y,0.004561,0.8627
18,relative_dev_max_5,0.004324,0.8178
19,trainer_place_rate_90d,0.003771,0.7132
20,trainer_win_rate,0.003417,0.6463
21,trainer_pr_2y,0.003366,0.6366
22,jockey_surf_dist_pr,0.002540,0.4803
23,age,0.002456,0.4645
24,trainer_cond_pr,0.002410,0.4559
25,horse_win_rate,0.002052,0.3881
26,speed_index_avg_6m,0.001854,0.3507
27,horse_context_pr,0.001801,0.3407
28,past_corner_loss_sec_avg,0.001801,0.3406
29,trainer_dist_pr,0.001613,0.3051
30,sire_context_pr,0.001603,0.3032
