rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.121119,15.5044
2,jockey_place_rank_in_race,0.120125,15.3771
3,trainer_place_rank_in_race,0.102349,13.1016
4,relative_dev_mean_5,0.075648,9.6836
5,field_count,0.038306,4.9035
6,ml_pos_est,0.037984,4.8624
7,horse_venue_pr,0.018624,2.3841
8,style_pace_affinity,0.016124,2.0640
9,dev_run2_adj,0.015787,2.0209
10,past_avg_outer_ratio,0.013125,1.6802
11,relative_dev_recent,0.012301,1.5747
12,jockey_place_rate_90d,0.011662,1.4928
13,front_runner_count_in_race,0.010653,1.3637
14,horse_dist_pr,0.010079,1.2903
15,relative_dev_max_5,0.008739,1.1186
16,venue_sim_runs,0.008721,1.1163
17,jockey_sim_venue_dist_pr,0.008613,1.1026
18,trainer_horse_pr,0.007914,1.0131
19,speed_index_avg_6m,0.007271,0.9308
20,horse_jockey_pr,0.006241,0.7989
21,jockey_smile_pr,0.006041,0.7733
22,pace_pressure_index,0.005405,0.6919
23,style_surface_wr,0.005216,0.6677
24,venue_sim_place_rate,0.005063,0.6482
25,trainer_cond_pr,0.004699,0.6015
26,speed_index_trend,0.004637,0.5935
27,trainer_place_rate_90d,0.003817,0.4886
28,horse_days_since,0.003769,0.4824
29,past_corner_loss_sec_avg,0.003512,0.4496
30,same_dir_runs,0.003484,0.4460
