rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.045682,18.4504
2,venue_sim_place_rate,0.027213,10.9909
3,jockey_pr_2y,0.020347,8.2179
4,jockey_place_rank_in_race,0.018538,7.4871
5,horse_venue_pr,0.017909,7.2332
6,style_pace_affinity,0.014691,5.9333
7,field_count,0.012918,5.2172
8,jockey_win_rate,0.011048,4.4622
9,trainer_place_rank_in_race,0.010885,4.3961
10,jockey_dist_pr,0.009199,3.7154
11,relative_dev_max_5,0.008042,3.2480
12,relative_dev_mean_5,0.006014,2.4290
13,jt_combo_wr,0.005860,2.3669
14,trainer_horse_pr,0.005437,2.1960
15,trainer_pr_2y,0.005147,2.0789
16,relative_dev_recent,0.002909,1.1749
17,past_avg_outer_ratio,0.002846,1.1495
18,trainer_win_rate,0.002690,1.0863
19,pace_pressure_index,0.002163,0.8736
20,trainer_surf_dist_pr,0.001670,0.6746
21,kishu_pattern_code,0.001636,0.6608
22,dev_run2_adj,0.001633,0.6597
23,past_corner_loss_sec_avg,0.001404,0.5672
24,trend_position_slope,0.001402,0.5661
25,venue_code,0.001290,0.5209
26,horse_days_since,0.001200,0.4845
27,jockey_place_rate_90d,0.001092,0.4412
28,front_runner_count_in_race,0.001068,0.4312
29,jt_combo_place_rate_30d,0.001040,0.4200
30,jockey_sim_venue_dist_pr,0.000891,0.3600
