jockey_name,jockey_id,category,rides_total,rides_jra,rides_nar,nige_rate,senko_rate,mae_iki_rate,chudan_rate,koho_rate,avg_pos1c_rel,ds_rides,ds_nige_rate,ds_senko_rate,ds_mae_iki_rate,ns_rides,ns_koho_rate,wins,win_rate,recent_rides,recent_nige_rate,recent_mae_iki_rate
笹川翼,05524,JRA+NAR,5322,32,5290,12.06,27.9,39.97,35.46,26.34,0.4325,1745,0.92,12.55,13.47,1568,3.64,1031,19.37,1529,13.47,43.62
矢野貴之,05380,NAR,4880,0,4880,13.69,24.94,38.63,36.37,25.57,0.4293,1767,1.08,11.54,12.62,1290,1.63,1030,21.11,1279,13.6,38.15
塚本征吾,a0487,NAR,4370,0,4370,11.03,27.83,38.86,32.68,33.07,0.4813,2334,3.0,16.02,19.02,1277,4.46,579,13.25,1666,11.04,41.3
和田譲治,05399,NAR,3994,0,3994,9.96,22.33,32.3,35.88,32.6,0.4795,1252,0.56,9.27,9.82,653,2.45,534,13.37,573,13.61,33.51
廣瀬航,a01b1,NAR,3881,0,3881,11.11,22.75,33.86,36.41,33.75,0.5032,1558,1.16,12.97,14.12,813,5.9,554,14.27,1013,10.07,35.44
西将太,B0064,NAR,3717,0,3717,11.22,23.76,34.97,32.93,37.85,0.5229,0,0.0,0.0,0.0,0,0.0,463,12.46,978,15.24,43.25
鈴木恵介,B0035,NAR,3643,0,3643,23.17,31.65,54.82,30.5,20.86,0.3937,0,0.0,0.0,0.0,0,0.0,613,16.83,976,24.18,55.64
西謙一,B0055,NAR,3612,0,3612,10.19,23.31,33.5,32.78,39.45,0.5327,0,0.0,0.0,0.0,0,0.0,412,11.41,977,9.72,34.29
吉村智洋,05390,NAR,3605,0,3605,13.51,31.29,44.8,38.42,22.55,0.4281,1008,0.99,17.86,18.85,1040,6.92,973,26.99,1005,12.04,40.8
今井貴大,05489,NAR,3583,0,3583,12.7,30.03,42.73,35.39,25.68,0.4371,1230,3.82,16.67,20.49,852,3.99,520,14.51,896,13.5,46.09
下原理,05328,JRA+NAR,3582,3,3579,11.25,28.64,39.89,38.86,26.47,0.4562,1289,1.47,18.54,20.02,789,4.06,627,17.5,826,9.81,34.02
赤塚健仁,B0063,NAR,3560,0,3560,8.4,18.6,26.99,30.17,47.5,0.5871,0,0.0,0.0,0.0,0,0.0,351,9.86,951,8.2,27.34
島津新,B0062,NAR,3556,0,3556,10.74,21.12,31.86,29.84,43.84,0.5648,0,0.0,0.0,0.0,0,0.0,411,11.56,968,8.78,30.37
長澤幸太,B0056,NAR,3554,0,3554,9.68,17.53,27.21,28.5,48.85,0.5973,0,0.0,0.0,0.0,0,0.0,355,9.99,952,8.72,24.58
加藤聡一,05557,NAR,3533,0,3533,14.1,20.07,34.16,30.74,37.87,0.5054,1415,3.11,11.02,14.13,744,7.8,490,13.87,980,16.53,37.14
小林凌,05560,JRA+NAR,3516,347,3169,9.24,16.61,25.85,28.1,48.66,0.5765,1903,2.26,8.57,10.83,497,3.82,190,5.4,1093,8.23,22.87
岡部誠,05171,JRA+NAR,3472,36,3436,16.85,28.66,45.51,34.74,25.0,0.4245,1037,2.31,12.92,15.24,839,5.84,728,20.97,173,12.72,35.84
金田利貴,B0067,NAR,3454,0,3454,10.65,22.35,33.01,33.09,39.23,0.5345,0,0.0,0.0,0.0,0,0.0,370,10.71,989,14.16,38.12
本田正重,05443,NAR,3423,0,3423,9.26,17.38,26.64,35.14,39.12,0.5209,1438,0.63,7.93,8.55,676,4.73,480,14.02,1039,7.99,27.53
大畑雅章,05370,NAR,3417,0,3417,12.12,23.94,36.06,31.64,34.83,0.4938,1515,4.03,13.66,17.69,632,4.27,376,11.0,868,14.75,35.25
