trainer_name,trainer_id,category,rides_total,rides_jra,rides_nar,nige_rate,senko_rate,mae_iki_rate,chudan_rate,koho_rate,avg_pos1c_rel,ds_rides,ds_nige_rate,ds_senko_rate,ds_mae_iki_rate,ns_rides,ns_koho_rate,wins,win_rate,recent_rides,recent_nige_rate,recent_mae_iki_rate
ばんえい坂本東一,B0055,NAR,2989,0,2989,13.22,22.58,35.8,31.78,37.57,0.5195,0,0.0,0.0,0.0,0,0.0,363,12.14,798,11.78,35.21
ばんえい金田勇,B0050,NAR,2981,0,2981,12.21,25.96,38.18,32.64,34.55,0.5052,0,0.0,0.0,0.0,0,0.0,374,12.55,824,13.47,40.29
ばんえい松井浩文,B0053,NAR,2945,0,2945,11.61,20.44,32.05,30.9,41.83,0.5457,0,0.0,0.0,0.0,0,0.0,340,11.54,818,13.69,33.86
ばんえい久田守,B0003,NAR,2864,0,2864,9.43,21.75,31.18,32.4,41.13,0.5476,0,0.0,0.0,0.0,0,0.0,312,10.89,743,9.96,32.97
ばんえい西弘美,B0059,NAR,2856,0,2856,9.07,21.36,30.43,29.83,45.17,0.5674,0,0.0,0.0,0.0,0,0.0,290,10.15,746,9.52,32.04
ばんえい村上慎一,B0051,NAR,2836,0,2836,9.84,21.51,31.35,31.63,43.55,0.5661,0,0.0,0.0,0.0,0,0.0,280,9.87,797,11.04,33.25
藤ヶ崎一,05200,NAR,2816,0,2816,10.58,20.06,30.65,30.04,40.23,0.5264,1998,2.55,10.41,12.96,814,4.91,263,9.34,1138,8.7,28.21
ばんえい服部義幸,B0002,NAR,2593,0,2593,10.45,20.44,30.89,29.97,44.62,0.5661,0,0.0,0.0,0.0,0,0.0,292,11.26,720,7.92,25.0
工藤真司,a02e3,NAR,2588,0,2588,13.21,21.95,35.16,29.87,39.26,0.5162,1134,0.79,14.11,14.9,610,5.25,373,14.41,726,11.16,33.88
ばんえい大友栄人,B0043,NAR,2514,0,2514,8.55,19.77,28.32,30.31,46.34,0.5765,0,0.0,0.0,0.0,0,0.0,247,9.82,739,5.41,24.09
ばんえい岩本利春,B0054,NAR,2381,0,2381,10.33,20.03,30.37,29.27,45.74,0.5747,0,0.0,0.0,0.0,0,0.0,248,10.42,680,7.79,27.21
ばんえい小林長吉,B0052,NAR,2239,0,2239,10.45,22.51,32.96,32.34,40.11,0.5371,0,0.0,0.0,0.0,0,0.0,223,9.96,612,7.35,27.45
ばんえい今井茂雅,B0004,NAR,2235,0,2235,16.91,25.68,42.6,33.11,29.8,0.4697,0,0.0,0.0,0.0,0,0.0,304,13.6,669,17.64,42.9
加藤和義,a02c5,NAR,2197,0,2197,16.34,23.62,39.96,26.9,40.87,0.5189,884,5.09,19.0,24.1,497,8.05,342,15.57,568,19.37,41.2
藤田正治,05237,NAR,2146,0,2146,10.62,21.34,31.97,28.84,48.0,0.579,1684,4.39,14.9,19.3,422,5.45,188,8.76,839,10.25,33.13
兵庫山口浩幸,05466,NAR,2109,0,2109,6.12,14.18,20.29,27.98,54.24,0.6263,1076,0.84,9.48,10.32,244,10.66,107,5.07,531,7.53,22.98
井樋一也,a01c1,NAR,2066,0,2066,11.37,21.59,32.96,29.43,45.4,0.5597,944,2.01,13.14,15.15,347,8.36,278,13.46,530,13.4,35.09
ばんえい槻舘重人,B0042,NAR,1992,0,1992,13.15,24.9,38.05,31.22,35.39,0.5035,0,0.0,0.0,0.0,0,0.0,227,11.4,588,13.95,38.78
伊藤強一,05076,NAR,1968,0,1968,10.16,24.09,34.25,31.35,45.93,0.5668,1531,4.44,17.5,21.95,403,6.2,167,8.49,810,9.88,32.47
ばんえい鈴木邦哉,B0018,NAR,1894,0,1894,9.71,23.6,33.32,34.11,38.49,0.5344,0,0.0,0.0,0.0,0,0.0,185,9.77,525,9.71,32.57
雑賀正光,a0043,NAR,1834,0,1834,14.23,21.1,35.33,32.12,38.0,0.5081,1272,1.81,15.57,17.37,539,3.15,179,9.76,666,13.66,33.48
角田輝也,05242,JRA+NAR,1811,1,1810,14.96,27.33,42.3,33.19,26.95,0.4376,1000,3.1,15.8,18.9,796,4.02,377,20.82,742,14.02,38.81
別府真司,a0044,NAR,1808,0,1808,6.36,20.35,26.71,34.4,44.63,0.5728,1427,1.47,14.09,15.56,355,5.92,118,6.53,762,5.91,26.9
田中譲二,a00ed,NAR,1777,0,1777,7.2,19.13,26.34,31.29,46.82,0.5744,1372,0.95,12.1,13.05,378,4.23,123,6.92,719,6.68,25.45
ばんえい小北栄一,B0047,NAR,1775,0,1775,10.7,18.37,29.07,25.97,49.75,0.5903,0,0.0,0.0,0.0,0,0.0,191,10.76,506,8.89,26.28
ばんえい中島敏博,B0057,NAR,1767,0,1767,9.11,19.35,28.47,32.14,43.58,0.5642,0,0.0,0.0,0.0,0,0.0,185,10.47,559,5.9,25.04
那俄性哲,05726,NAR,1691,0,1691,5.44,18.39,23.83,31.58,48.61,0.5987,1315,0.76,11.1,11.86,353,6.23,126,7.45,689,5.37,23.8
笹野博司,05675,NAR,1668,0,1668,19.6,35.55,55.16,36.33,21.7,0.4123,865,6.13,24.62,30.75,769,4.68,422,25.3,669,19.88,53.06
ばんえい田上忠夫,B0023,NAR,1658,0,1658,8.69,16.53,25.21,26.0,53.86,0.6187,0,0.0,0.0,0.0,0,0.0,141,8.5,463,7.78,22.46
小久保智,05609,NAR,1652,0,1652,28.21,29.66,57.87,26.33,18.34,0.3488,798,7.27,23.93,31.2,820,2.8,304,18.4,708,26.69,56.07
加藤幸保,05544,NAR,1630,0,1630,10.43,25.71,36.13,30.31,44.17,0.5553,1223,4.33,18.32,22.65,388,7.73,182,11.17,679,9.13,35.05
後藤佑耶,a034e,NAR,1627,0,1627,11.06,27.97,39.03,35.46,37.25,0.5157,1031,3.69,16.68,20.37,571,10.16,307,18.87,669,10.46,37.82
愛知藤ヶ崎一,05177,NAR,1621,0,1621,10.73,19.68,30.41,29.24,41.33,0.5307,0,0.0,0.0,0.0,0,0.0,158,9.75,1,0.0,0.0
加藤和宏,05610,JRA+NAR,1594,4,1590,14.43,26.04,40.46,35.57,33.56,0.4914,983,1.93,20.65,22.58,594,6.23,264,16.56,674,13.95,41.54
後藤正義,a0276,NAR,1583,0,1583,10.42,18.57,29.0,22.8,55.4,0.6203,1220,3.85,11.23,15.08,326,7.98,129,8.15,691,11.72,31.4
錦見勇夫,00823,NAR,1576,0,1576,8.06,12.88,20.94,31.92,47.46,0.5742,1331,3.23,8.64,11.87,240,8.33,43,2.73,629,13.35,26.71
田中淳司,05630,NAR,1541,0,1541,19.92,27.58,47.5,35.11,23.49,0.4138,812,1.97,14.66,16.63,727,1.79,308,19.99,794,19.77,47.48
今津博之,05486,NAR,1532,0,1532,16.78,28.52,45.3,32.83,24.61,0.4152,813,3.69,14.27,17.96,698,2.44,281,18.34,630,23.02,53.33
坂口義幸,05668,NAR,1529,0,1529,9.68,20.27,29.95,31.33,39.9,0.5253,1064,2.54,10.9,13.44,444,6.08,139,9.09,633,10.43,31.44
ばんえい長部幸光,B0026,NAR,1507,0,1507,12.28,21.5,33.78,27.21,43.07,0.5492,0,0.0,0.0,0.0,0,0.0,175,11.61,466,14.16,32.62
中川竜馬,05624,NAR,1507,0,1507,9.69,19.44,29.13,30.19,43.07,0.5487,1079,2.69,12.6,15.29,407,7.37,149,9.89,690,11.16,30.29
兵庫坂本和也,05718,NAR,1495,0,1495,16.12,28.23,44.35,35.59,25.35,0.4391,552,3.08,17.21,20.29,393,3.56,213,14.25,386,16.58,42.49
池田忠好,05741,NAR,1486,0,1486,13.46,25.37,38.83,31.22,34.25,0.4871,956,3.56,17.47,21.03,510,8.43,207,13.93,604,13.74,39.74
山田徹,a0367,NAR,1484,0,1484,9.7,18.67,28.37,31.81,42.39,0.5464,985,2.84,11.78,14.62,474,12.45,199,13.41,603,8.29,24.38
兵庫田村彰啓,a029e,NAR,1474,0,1474,5.97,19.2,25.17,33.58,45.52,0.5782,697,1.29,11.05,12.34,214,5.61,115,7.8,377,6.37,25.46
打越勇児,a02b0,NAR,1469,0,1469,26.14,29.0,55.14,29.0,22.12,0.3862,580,2.07,18.62,20.69,874,4.46,463,31.52,596,23.32,51.51
榎屋充,a03eb,NAR,1466,0,1466,8.73,20.4,29.13,35.81,36.49,0.5122,1022,2.15,9.3,11.45,429,3.5,174,11.87,648,10.19,28.7
安部幸夫,a030a,NAR,1463,0,1463,6.15,16.2,22.35,34.38,44.22,0.5635,1056,1.23,7.58,8.81,391,7.93,158,10.8,582,6.19,24.4
北村欣也,a0278,NAR,1457,0,1457,10.43,20.73,31.16,29.65,43.03,0.541,716,5.03,15.78,20.81,228,6.58,121,8.3,425,11.29,32.47
小国博行,a02e5,NAR,1456,0,1456,10.58,22.12,32.69,33.24,41.21,0.5339,833,0.84,10.44,11.28,384,3.91,165,11.33,650,11.85,32.46
迫田清美,05230,NAR,1448,0,1448,6.84,18.16,25.0,35.84,39.92,0.5358,1092,1.28,10.81,12.09,341,6.74,110,7.6,609,6.4,25.45
櫻井今朝,05368,NAR,1440,0,1440,6.04,17.08,23.12,29.65,47.78,0.577,1108,1.26,8.66,9.93,321,5.61,119,8.26,641,4.84,22.78
中川雅之,a02b7,NAR,1435,0,1435,16.72,29.41,46.13,32.26,31.36,0.4651,926,4.54,22.68,27.21,489,3.89,207,14.43,628,15.76,45.7
兵庫飯田良弘,a02be,NAR,1435,0,1435,14.91,24.81,39.72,35.05,29.69,0.4684,494,1.42,15.79,17.21,390,6.15,297,20.7,372,14.78,43.55
水野貴史,a02c6,NAR,1425,0,1425,12.98,23.79,36.77,33.54,32.07,0.4756,580,1.55,15.52,17.07,301,3.65,154,10.81,405,13.09,38.52
原口次夫,05214,NAR,1417,0,1417,9.46,20.75,30.2,32.18,38.46,0.5127,1007,2.18,11.92,14.1,395,4.81,115,8.12,614,8.96,28.18
真島元徳,05106,NAR,1412,0,1412,12.11,24.01,36.12,32.72,35.69,0.4951,842,2.85,17.58,20.43,554,13.0,245,17.35,600,9.67,33.17
平山宏秀,a0368,NAR,1404,0,1404,9.62,21.44,31.05,31.98,40.17,0.5334,819,2.69,12.45,15.14,253,3.95,131,9.33,407,9.58,30.96
兵庫盛本信春,05702,NAR,1398,0,1398,12.66,26.68,39.34,35.84,28.54,0.4611,562,1.96,14.59,16.55,345,5.51,227,16.24,382,13.09,42.67
竹下太,a02e8,NAR,1396,0,1396,7.52,15.9,23.42,30.87,46.78,0.5735,1114,2.33,9.78,12.12,271,5.54,71,5.09,613,5.38,21.04
兵庫橋本忠明,05734,NAR,1390,0,1390,16.26,26.76,43.02,32.81,29.06,0.4501,561,2.85,16.58,19.43,302,2.32,177,12.73,363,22.04,44.9
宇野木博,a02c7,NAR,1388,0,1388,8.0,21.61,29.61,36.6,35.45,0.5143,625,1.92,14.72,16.64,239,4.6,132,9.51,425,8.24,30.12
森山英雄,05071,NAR,1387,0,1387,10.45,22.71,33.17,27.25,48.88,0.5762,1002,2.89,14.77,17.66,355,8.73,138,9.95,551,8.89,30.13
九日俊光,05005,NAR,1385,0,1385,10.25,22.24,32.49,29.96,40.58,0.5308,991,4.14,14.03,18.16,383,8.88,129,9.31,562,10.14,30.43
佐々木国,a0372,NAR,1385,0,1385,8.09,22.38,30.47,31.26,43.68,0.5509,747,0.94,10.84,11.78,265,2.64,112,8.09,543,8.66,31.31
倉地学,05671,NAR,1383,0,1383,8.89,17.86,26.75,26.25,47.79,0.5677,1074,2.98,10.43,13.41,295,6.78,76,5.5,576,6.08,20.31
ばんえい金山明彦,B0046,NAR,1376,0,1376,13.3,25.36,38.66,33.79,33.5,0.4943,0,0.0,0.0,0.0,0,0.0,176,12.79,427,14.29,38.64
角川秀樹,05311,NAR,1368,0,1368,14.33,24.12,38.45,31.8,36.11,0.5006,829,2.41,10.49,12.91,538,6.69,216,15.79,696,13.36,37.5
ばんえい平田義弘,B0016,NAR,1361,0,1361,10.95,20.5,31.45,29.68,43.06,0.5551,0,0.0,0.0,0.0,0,0.0,139,10.21,380,10.26,32.63
佐藤雅彦,05417,NAR,1350,0,1350,16.15,18.96,35.11,26.22,41.41,0.517,897,2.56,9.25,11.82,438,2.28,174,12.89,574,18.82,37.63
兵庫森澤友貴,05567,NAR,1348,0,1348,9.42,24.26,33.68,33.75,36.8,0.5145,561,1.43,13.37,14.8,357,10.92,256,18.99,388,9.54,31.7
兵庫三宅直之,05644,NAR,1324,0,1324,2.57,9.89,12.46,20.92,68.05,0.7231,746,0.0,4.16,4.16,61,16.39,36,2.72,323,0.62,6.19
東眞市,05601,NAR,1323,0,1323,10.13,22.98,33.11,35.68,35.22,0.5085,798,2.51,14.79,17.29,510,9.61,228,17.23,528,10.61,34.09
兵庫諏訪貴正,05707,NAR,1321,0,1321,9.16,21.27,30.43,33.54,40.42,0.5424,647,2.01,13.91,15.92,214,4.67,149,11.28,364,9.89,33.24
手島勝利,05257,NAR,1318,0,1318,12.52,22.69,35.2,33.99,32.78,0.4868,900,4.33,14.89,19.22,403,4.47,110,8.35,546,13.55,36.45
沖田明子,a0437,NAR,1309,0,1309,8.48,19.25,27.73,33.77,39.5,0.525,940,2.02,10.0,12.02,356,5.9,92,7.03,582,6.7,26.29
今津勝之,05274,NAR,1305,0,1305,9.96,16.93,26.9,31.88,41.53,0.5446,968,3.0,9.61,12.6,319,5.33,88,6.74,549,8.01,22.77
